id,sku,name,type,gender,age,color,color_hex,powers,quantity,price,strikeout_price,tags,frame_shape,face_shape_recommendation,shade,image_urls,avg_rating,brand,material,style,description,product_url
LK-146528,LB E13739,Lenskart BLU Screen Glasses BLU COMPUTER GLASSES Unisex Zero Power Screen Glasses TR90 Square,eyeglasses,unisex,adult,grey,#808080,0.0,25,600.0,1500.0,classic|zero_power|adult|unisex|under_1000|blue-cut|computer|cool,round,oval|square|heart,clear,https://static5.lenskart.com/media/catalog/product/pro/1/thumbnail/480x480/9df78eab33525d08d6e5fb8d27136e95//l/i/blue-block-zero-power-screen-glasses-:-grey-transparent-full-rim-square-lenskart-blu-lb-e13739-c2_dsc5197_13_12_2025.jpg,4.2,Lenskart BLU Screen Glasses,TR90,round,Lenskart BLU Screen Glasses BLU COMPUTER GLASSES Zero Power Screen Glasses Full Rim Transparent Square TR90 LB E13739 Men Women Others,https://www.lenskart.com/lenskart-blu-lb-e13739-c2-eyeglasses.html?rd=n
LK-146527,LB E13738,Lenskart BLU Screen Glasses Unisex Zero Power Screen Glasses TR90 Rectangle,eyeglasses,unisex,adult,grey,#808080,0.0,25,600.0,1500.0,classic|zero_power|adult|unisex|under_1000|blue-cut|computer|cool,rectangular,oval|round|heart|oblong,clear,https://static5.lenskart.com/media/catalog/product/pro/1/thumbnail/480x480/9df78eab33525d08d6e5fb8d27136e95//l/i/blue-block-zero-power-screen-glasses-:-matte-grey-transparent-full-rim-rectangle-lenskart-blu-lb-e13738-c2_dsc5067_18_12_2025.jpg,4.2,Lenskart BLU Screen Glasses,TR90,rectangular,Lenskart BLU Screen Glasses Zero Power Screen Glasses Full Rim Gray Rectangle TR90 LB E13738 Men Women Others,https://www.lenskart.com/lenskart-blu-lb-e13738-c2-eyeglasses.html?rd=n
LK-146559,LKJ E10031,Hooper Online Lenskart Juniors Kids Eyeglasses Brown Acetate Square,eyeglasses,unisex,kids,tortoise,#8B4513,-2.0|-1.5|-1.0|-0.5|0.0|0.5|1.0,25,450.0,1000.0,classic|single_vision|kids|unisex|under_500|warm,rectangular,oval|round|heart,clear,https://static5.lenskart.com/media/catalog/product/pro/1/thumbnail/480x480/9df78eab33525d08d6e5fb8d27136e95//l/e/lenskart-junior-lkj-e10031-c2-dup-eyeglasses_g_2760.jpg,4.2,Hooper Online,Acetate,rectangular,Hooper Online Lenskart Juniors Eyeglasses Full Rim Brown Brown Square Acetate LKJ E10031 Kids Lenskart Juniors Spectacles Frames Glasses Stylish Fashion Discounts Offer India Online Try eyeglasses 3DT Made by Robots Robotic,https://www.lenskart.com/blue-block-kids-computer-glasses-brown-blue-full-rim-square-kids-8-yrs-lenskart-junior-owlers-lkj-e10031-c2.html?rd=n
LK-146587,JJ E13744AF,John Jacobs SG Essentials+ Unisex Eyeglasses Brown Italian Acetate Square,eyeglasses,unisex,adult,brown,#8B4513,-2.0|-1.5|-1.0|-0.5|0.0|0.5|1.0,25,3100.0,3900.0,classic|progressive|adult|unisex|above_3000|warm,rectangular,oval|round|heart|oblong,clear,https://static5.lenskart.com/media/catalog/product/pro/1/thumbnail/480x480/9df78eab33525d08d6e5fb8d27136e95//j/i/Matte-Brown-Silver-Full-Rim-Rectangle-John-Jacobs-Rich-Acetate-JJ-E13744AF-C2-Eyeglasses_john-jacobs-jj-e13744af-c2-eyoglass_g_032616_02_2022.jpg,4.2,John Jacobs,Acetate,rectangular,John Jacobs SG Essentials+ Eyeglasses Full Rim Brown Brown Square Italian Acetate JJ E13744AF Men Women SG Essentials Spectacles Frames Glasses Stylish Fashion Discounts Offer India Online Try eyeglasses 3DT Made by Robots Robotic Bifocal / Progressive,https://www.lenskart.com/john-jacobs-jj-e13744af-c2-eyeglasses.html?rd=n
LK-146457,LB E13736,Lenskart BLU Screen Glasses BLU COMPUTER GLASSES Unisex Zero Power Screen Glasses TR90 Round,eyeglasses,unisex,adult,black,#1a1a1a,0.0,25,500.0,1500.0,classic|zero_power|adult|unisex|under_1000|blue-cut|computer|dark|neutral,round,oval|square|heart,clear,https://static5.lenskart.com/media/catalog/product/pro/1/thumbnail/480x480/9df78eab33525d08d6e5fb8d27136e95//l/i/blue-block-zero-power-screen-glasses-:-matte-black-full-rim-round-lenskart-blu-lb-e13736-c1__dsc7562_31_12_2025.jpg,4.2,Lenskart BLU Screen Glasses,TR90,round,Lenskart BLU Screen Glasses BLU COMPUTER GLASSES Zero Power Screen Glasses Full Rim Black Round TR90 LB E13736 Men Women Others,https://www.lenskart.com/lenskart-blu-lb-e13736-c1-eyeglasses.html?rd=n
LK-146463,JJ E13741,John Jacobs Neo Craft Unisex Eyeglasses Brown Italian Acetate Round,eyeglasses,unisex,adult,brown,#8c7a66,-2.0|-1.5|-1.0|-0.5|0.0|0.5|1.0,25,3100.0,3900.0,trendy|progressive|adult|unisex|above_3000|warm,round,oval|square|heart|oblong,clear,https://static5.lenskart.com/media/catalog/product/pro/1/thumbnail/480x480/9df78eab33525d08d6e5fb8d27136e95//j/i/Brown-Grey-Gunmetal-Full-Rim-Round-John-Jacobs-Rich-Acetate-JJ-E13741-C1-Eyeglasses_john-jacobs-jj-e13741-c1-eyeglasses_g_0339_10_02_2022.jpg,4.2,John Jacobs,Acetate,round,John Jacobs Neo Craft Eyeglasses Full Rim Brown Brown Round Italian Acetate JJ E13741 Men Women Rich Acetate Spectacles Frames Glasses Stylish Fashion Discounts Offer India Online Try eyeglasses 3DT Made by Robots Robotic Bifocal / Progressive,https://www.lenskart.com/john-jacobs-jj-e13741-c1-eyeglasses.html?rd=n
LK-146291,JJ E13195,John Jacobs Screen Glasses BLU COMPUTER GLASSES Unisex Eyeglasses Brown Italian Acetate Rectangle,eyeglasses,unisex,adult,brown,#6b645e,-2.0|-1.5|-1.0|-0.5|0.0|0.5|1.0,25,1600.0,4000.0,classic|single_vision|adult|unisex|under_2000|blue-cut|computer|warm,rectangular,oval|round|heart,clear,https://static5.lenskart.com/media/catalog/product/pro/1/thumbnail/480x480/9df78eab33525d08d6e5fb8d27136e95//j/o/john-jacobs-jj-e13195-c2-dup-eyeglasses_g_0322.jpg,4.2,John Jacobs Screen Glasses,Acetate,rectangular,John Jacobs Screen Glasses BLU COMPUTER GLASSES Eyeglasses Full Rim Brown Brown Rectangle Italian Acetate JJ E13195 Men Women Others Spectacles Frames Glasses Stylish Fashion Discounts Offer India Online Try eyeglasses 3DT Made by Robots Robotic,https://www.lenskart.com/john-jacobs-jj-e13195-c2-dup-eyeglasses.html?rd=n
LK-143127,LKJ E10031,Hooper Online Owlers Kids Eyeglasses Brown Acetate Square,eyeglasses,unisex,kids,tortoise,#8B4513,-2.0|-1.5|-1.0|-0.5|0.0|0.5|1.0,25,450.0,1000.0,classic|progressive|kids|unisex|under_500|warm,rectangular,oval|round|heart,clear,https://static5.lenskart.com/media/catalog/product/pro/1/thumbnail/480x480/9df78eab33525d08d6e5fb8d27136e95//l/e/lenskart-junior-lkj-e10031-c2-eyeglasses_g_2760.jpg,4.2,Hooper Online,Acetate,rectangular,Hooper Online Owlers Eyeglasses Full Rim Brown Brown Square Acetate LKJ E10031 Kids SG Hooper Spectacles Frames Glasses Stylish Fashion Discounts Offer India Online Try eyeglasses 3DT Made by Robots Robotic Bifocal / Progressive,https://www.lenskart.com/lenskart-junior-lkj-e10031-c2-eyeglasses.html?rd=n
LK-143063,LA E13406AF,Lenskart Air Online CLASSICS Unisex Eyeglasses Purple TR90 Round,eyeglasses,unisex,adult,blue,#524fa1,-2.0|-1.5|-1.0|-0.5|0.0|0.5|1.0,25,750.0,2000.0,minimalist|progressive|adult|unisex|under_1000|cool,oval,square|heart|oval,clear,https://static5.lenskart.com/media/catalog/product/pro/1/thumbnail/480x480/9df78eab33525d08d6e5fb8d27136e95//l/i/Purple-Blue-Full-Rim-Rectangle-Lenskart-Air-Flex-LA-E13406AF-C3-Eyeglasses_lenskart-air-lla-e13406af-full-rim-ultem-c3-eyeglasses_g_7314_10_02_2022.jpg,4.2,Lenskart Air Online,TR90,oval,Lenskart Air Online CLASSICS Eyeglasses Full Rim Purple Purple Round TR90 LA E13406AF Men Women SG Flex Spectacles Frames Glasses Stylish Fashion Discounts Offer India Online Try eyeglasses 3DT Made by Robots Robotic Bifocal / Progressive,https://www.lenskart.com/lenskart-air-la-e13406af-full-rim-ultem-c3-eyeglasses.html?rd=n
LK-142914,JJ E13359AF,John Jacobs Surrealist AW22 Unisex Eyeglasses Black Italian Acetate Hexagonal,eyeglasses,unisex,adult,black,#1a1a1a,-2.0|-1.5|-1.0|-0.5|0.0|0.5|1.0,25,3100.0,3900.0,progressive|adult|unisex|above_3000|dark|neutral,hexagonal,oval|round|heart,clear,https://static5.lenskart.com/media/catalog/product/pro/1/thumbnail/480x480/9df78eab33525d08d6e5fb8d27136e95//j/i/Black-Gold-Full-Rim-Hexagonal-John-Jacobs-Rich-Acetate-JJ-E13359AF-C2-Eyeglasses_john-jacobs-jj-e13359af-c2-eyeglasses_g_527215_02_2022.jpg,4.2,John Jacobs,Acetate,hexagonal,John Jacobs Surrealist AW22 Eyeglasses Full Rim Black Black Hexagonal Italian Acetate JJ E13359AF Men Women SG Essentials Spectacles Frames Glasses Stylish Fashion Discounts Offer India Online Try eyeglasses 3DT Made by Robots Robotic Bifocal / Progressive,https://www.lenskart.com/john-jacobs-jj-e13359af-c2-eyeglasses.html?rd=n
LK-142997,VC E13393,Vincent Chase SLEEK STEEL Women Eyeglasses Silver Metal Cat Eye,eyeglasses,female,adult,black,#1a1a1a,-2.0|-1.5|-1.0|-0.5|0.0|0.5|1.0,25,1400.0,1900.0,progressive|adult|female|under_2000|lightweight|dark|neutral,rectangular,oval|round|heart|oblong,clear,https://static5.lenskart.com/media/catalog/product/pro/1/thumbnail/480x480/9df78eab33525d08d6e5fb8d27136e95//v/i/vincent-chase-vc-e13393-c2-eyeglasses_vincent-chase-vc-e13393-c2-eyeglasses_G_5011.jpg,4.2,Vincent Chase,Metal,rectangular,Vincent Chase SLEEK STEEL Eyeglasses Half Rim Silver Silver Cat Eye Metal VC E13393-N Women Lenskart Half Rim Spectacles Frames Glasses Stylish Fashion Discounts Offer India Online Try eyeglasses 3DT Made by Robots Robotic Bifocal / Progressive,https://www.lenskart.com/vincent-chase-vc-e13393-c2-eyeglasses.html?rd=n
